ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
61517,Sven Knipphals,M,30.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
61526,Jan Felix Knobel,M,23.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Decathlon,,Germany
61544,Silke Beate Knoll (-Gerhmann),F,25.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 200 metres,,Germany
61544,Silke Beate Knoll (-Gerhmann),F,25.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
61544,Silke Beate Knoll (-Gerhmann),F,29.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
61554,Lothar Knrzer,M,23.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's 4 x 100 metres Relay,Bronze,Germany
61718,Karsten Kobs,M,24.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Hammer Throw,,Germany
61718,Karsten Kobs,M,28.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's Hammer Throw,,Germany
61718,Karsten Kobs,M,32.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Hammer Throw,,Germany
61760,"Johannes ""Hannes"" Koch",M,25.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's 20 kilometres Walk,,Germany
61793,Erich Kchermann,M,23.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's Long Jump,,Germany
61793,Erich Kchermann,M,28.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's Long Jump,,Germany
61988,Gisela Khler-Birkemeyer,F,24.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's 100 metres,,Germany
61988,Gisela Khler-Birkemeyer,F,24.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's 200 metres,,Germany
61988,Gisela Khler-Birkemeyer,F,24.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's 80 metres Hurdles,Silver,Germany
